rhoU,viscU,rhoL,viscL,Gamma,D,lc,Q,S,Pri,Sec,Cohen
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,0.00025994701589652,0.0181356,0,1,0
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,0.00026045274937428,0.0180086,0,1,0
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,5.563068432012e-05,0.0125984,0,1,0
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,0.0002078564660469,0.0168402,0,1,0
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,0.00010519256671785,0.0130556,0,1,0
950,0.0249,1245,0.0018715,0.038,0.010795,0.00362365035963068,0.0001532372486823,0.014986,0,1,0
918,0.00499,998,0.00092718,0.038,0.010795,0.00695844663790994,0.000132489,0.0159004,0,1,0
918,0.00499,998,0.00092718,0.038,0.010795,0.00695844663790994,0.0001905318,0.0180086,0,1,0
918,0.00499,998,0.00092718,0.038,0.010795,0.00695844663790994,0.0002542527,0.0200152,0,1,0
918,0.00499,998,0.00092718,0.038,0.010795,0.00695844663790994,0.0003148191,0.0215138,0,1,0
918,0.00499,998,0.00092718,0.038,0.010795,0.00695844663790994,0.0003766473,0.0226314,0,1,0
918,0.00499,998,0.00092718,0.038,0.010795,0.00695844663790994,0.0002088279,0.0189484,0,1,0
918,0.00499,998,0.00092718,0.038,0.010795,0.00695844663790994,0.0003476259,0.0220726,0,1,0
950,0.01996,998,0.0009595,0.038,0.010795,0.00898331598136607,0.0001318581,0.016891,0,1,0
950,0.01996,998,0.0009595,0.038,0.010795,0.00898331598136607,0.0001949481,0.0196088,0,1,0
950,0.01996,998,0.0009595,0.038,0.010795,0.00898331598136607,0.00025236,0.02159,0,1,0
950,0.01996,998,0.0009595,0.038,0.010795,0.00898331598136607,0.0003141882,0.0233426,0,1,0
950,0.01996,998,0.0009595,0.038,0.010795,0.00898331598136607,0.0003753855,0.0250698,0,1,0
950,0.01996,998,0.0009595,0.038,0.010795,0.00898331598136607,0.0003148191,0.023368,0,1,0
950,0.01996,998,0.0009595,0.038,0.010795,0.00898331598136607,0.0001987335,0.0196342,0,1,0
918,0.006625,1325,0.002754,0.038,0.010795,0.00308503496092042,4.847026142682e-05,0.0122174,0,1,0
918,0.006625,1325,0.002754,0.038,0.010795,0.00308503496092042,9.55149269553e-05,0.0128016,0,1,0
918,0.006625,1325,0.002754,0.038,0.010795,0.00308503496092042,0.00014303479109553,0.014732,0,1,0
918,0.006625,1325,0.002754,0.038,0.010795,0.00308503496092042,0.00019150505252235,0.0162814,0,1,0
918,0.006625,1325,0.002754,0.038,0.010795,0.00308503496092042,0.00023237213571954,0.0169926,0,1,0
918,0.006625,1325,0.002754,0.038,0.010795,0.00308503496092042,5.702383700613e-05,0.0123698,0,1,0
